_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
5073,FY 2013-14,Department of Fisheries and Oceans,Main Estimates,10,Grants & Contributions,59091192
5074,FY 2013-14,Department of Fisheries and Oceans,Main Estimates,1,Operating/Program,1119719113
5075,FY 2013-14,Department of Fisheries and Oceans,Main Estimates,5,Capital,360102196
5076,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,10,Grants & Contributions,695653651
5077,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,1,Operating/Program,1232954584
5078,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,15,Operating/Program,65380000
5079,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,5,Capital,165509939
5080,FY 2013-14,Department of Health,Main Estimates,10,Grants & Contributions,1420761830
5081,FY 2013-14,Department of Health,Main Estimates,5,Capital,28640700
5082,FY 2013-14,Department of Health,Main Estimates,1,Operating/Program,1716556576
5083,FY 2013-14,"Department of Housing, Infrastructure and Communities",Main Estimates,1,Operating/Program,42160434
5084,FY 2013-14,"Department of Housing, Infrastructure and Communities",Main Estimates,5,Grants & Contributions,3877559295
5085,FY 2013-14,Department of Industry,Main Estimates,1,Operating/Program,306711937
5086,FY 2013-14,Department of Industry,Main Estimates,5,Capital,16293797
5087,FY 2013-14,Department of Industry,Main Estimates,10,Grants & Contributions,622427084
5088,FY 2013-14,Department of Justice,Main Estimates,1,Operating/Program,235985718
5089,FY 2013-14,Department of Justice,Main Estimates,5,Grants & Contributions,341635223
5090,FY 2013-14,Department of National Defence,Main Estimates,10,Grants & Contributions,184691220
5091,FY 2013-14,Department of National Defence,Main Estimates,1,Operating/Program,12839225319
5092,FY 2013-14,Department of National Defence,Main Estimates,5,Capital,3623414079
5093,FY 2013-14,Department of Natural Resources,Main Estimates,1,Operating/Program,787602384
5094,FY 2013-14,Department of Natural Resources,Main Estimates,5,Capital,25535435
5095,FY 2013-14,Department of Natural Resources,Main Estimates,10,Grants & Contributions,638924120
5096,FY 2013-14,Department of Public Safety and Emergency Preparedness,Main Estimates,1,Operating/Program,124342301
5097,FY 2013-14,Department of Public Safety and Emergency Preparedness,Main Estimates,5,Grants & Contributions,300628590
5098,FY 2013-14,Department of Public Works and Government Services,Main Estimates,5,Capital,573195732
5099,FY 2013-14,Department of Public Works and Government Services,Main Estimates,1,Operating/Program,1904455475
5100,FY 2013-14,Department of Transport,Main Estimates,1,Operating/Program,514256466
5101,FY 2013-14,Department of Transport,Main Estimates,10,Grants & Contributions,543950649
5102,FY 2013-14,Department of Transport,Main Estimates,5,Capital,222077647
5103,FY 2013-14,Department of Veterans Affairs,Main Estimates,1,Operating/Program,871509739
5104,FY 2013-14,Department of Veterans Affairs,Main Estimates,5,Grants & Contributions,2726718500
5105,FY 2013-14,Department of Western Economic Diversification,Main Estimates,1,Operating/Program,40398398
5106,FY 2013-14,Department of Western Economic Diversification,Main Estimates,5,Grants & Contributions,133411000
5107,FY 2013-14,Department of the Environment,Main Estimates,1,Operating/Program,701254526
5108,FY 2013-14,Department of the Environment,Main Estimates,5,Capital,51922400
5109,FY 2013-14,Department of the Environment,Main Estimates,10,Grants & Contributions,117353468
5110,FY 2013-14,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,1,Operating/Program,38535171
5111,FY 2013-14,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,5,Grants & Contributions,211466912
5112,FY 2013-14,Enterprise Cape Breton Corporation,Main Estimates,10,Payments to Crown Corps,51763000
5113,FY 2013-14,Federal Economic Development Agency for Southern Ontario,Main Estimates,50,Operating/Program,24774560
5114,FY 2013-14,Federal Economic Development Agency for Southern Ontario,Main Estimates,55,Grants & Contributions,194888410
5115,FY 2013-14,Financial Transactions and Reports Analysis Centre of Canada,Main Estimates,30,Operating/Program,45744322
5116,FY 2013-14,Hazardous Materials Information Review Commission,Main Estimates,35,Operating/Program,3243543
5117,FY 2013-14,House of Commons,Main Estimates,5,Operating/Program,280785349
5118,FY 2013-14,Immigration and Refugee Board,Main Estimates,10,Operating/Program,108427292
5119,FY 2013-14,Impact Assessment Agency of Canada,Main Estimates,15,Operating/Program,28142126
5120,FY 2013-14,Indian Residential Schools Truth and Reconciliation Commission,Main Estimates,30,Operating/Program,9594766
5121,FY 2013-14,International Development Research Centre,Main Estimates,45,Payments to Crown Corps,225390066
5122,FY 2013-14,International Joint Commission (Canadian Section),Main Estimates,50,Operating/Program,6106452
5123,FY 2013-14,Library and Archives of Canada,Main Estimates,55,Operating/Program,85212191
5124,FY 2013-14,Library and Archives of Canada,Main Estimates,60,Capital,2956827
5125,FY 2013-14,Library of Parliament,Main Estimates,10,Operating/Program,37817080
5126,FY 2013-14,Marine Atlantic Inc.,Main Estimates,30,Payments to Crown Corps,154430000
5127,FY 2013-14,Military Grievances External Review Committee,Main Estimates,15,Operating/Program,6087490
5128,FY 2013-14,Military Police Complaints Commission,Main Estimates,25,Operating/Program,5270441
5129,FY 2013-14,National Arts Centre Corporation,Main Estimates,65,Payments to Crown Corps,33796174
5130,FY 2013-14,National Capital Commission,Main Estimates,55,Payments to Crown Corps,78510834
5131,FY 2013-14,National Capital Commission,Main Estimates,60,Payments to Crown Corps,37947000
5132,FY 2013-14,National Film Board,Main Estimates,75,Operating/Program,62890037
5133,FY 2013-14,National Gallery of Canada,Main Estimates,80,Payments to Crown Corps,35426120
5134,FY 2013-14,National Gallery of Canada,Main Estimates,85,Payments to Crown Corps,8000000
5135,FY 2013-14,National Museum of Science and Technology,Main Estimates,90,Payments to Crown Corps,26491340
5136,FY 2013-14,National Research Council of Canada,Main Estimates,70,Grants & Contributions,275108580
5137,FY 2013-14,National Research Council of Canada,Main Estimates,60,Operating/Program,331886617
5138,FY 2013-14,National Research Council of Canada,Main Estimates,65,Capital,30776000
5139,FY 2013-14,National Security and Intelligence Review Agency Secretariat,Main Estimates,25,Operating/Program,2446007
5140,FY 2013-14,Natural Sciences and Engineering Research Council,Main Estimates,80,Grants & Contributions,997868740
5141,FY 2013-14,Natural Sciences and Engineering Research Council,Main Estimates,75,Operating/Program,42069645
5142,FY 2013-14,Northern Pipeline Agency,Main Estimates,30,Operating/Program,3003000
5143,FY 2013-14,Office of the Auditor General,Main Estimates,20,Operating/Program,74100653
5144,FY 2013-14,Office of the Chief Electoral Officer,Main Estimates,15,Operating/Program,30081305
5145,FY 2013-14,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,20,Operating/Program,7837158
5146,FY 2013-14,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,25,Operating/Program,1517452
5147,FY 2013-14,Office of the Commissioner of Lobbying,Main Estimates,45,Operating/Program,3988757
5148,FY 2013-14,Office of the Commissioner of Official Languages,Main Estimates,20,Operating/Program,21621488
5149,FY 2013-14,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,15,Operating/Program,6234980
5150,FY 2013-14,Office of the Correctional Investigator of Canada,Main Estimates,40,Operating/Program,4109837
5151,FY 2013-14,Office of the Director of Public Prosecutions,Main Estimates,35,Operating/Program,144181252
5152,FY 2013-14,Office of the Governor General's Secretary,Main Estimates,1,Operating/Program,17126153
5153,FY 2013-14,Office of the Intelligence Commissioner,Main Estimates,30,Operating/Program,1978878
5154,FY 2013-14,Office of the Public Sector Integrity Commissioner,Main Estimates,50,Operating/Program,5154100
5155,FY 2013-14,Office of the Senate Ethics Officer,Main Estimates,20,Operating/Program,683894
5156,FY 2013-14,Office of the Superintendent of Financial Institutions,Main Estimates,35,Operating/Program,909369
5157,FY 2013-14,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,45,Operating/Program,26628405
5158,FY 2013-14,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,40,Operating/Program,13171028
5159,FY 2013-14,Old Port of Montreal Corporation Inc.,Main Estimates,10,Payments to Crown Corps,24472000
5160,FY 2013-14,PPP Canada Inc.,Main Estimates,45,Payments to Crown Corps,252900000
5161,FY 2013-14,PPP Canada Inc.,Main Estimates,40,Payments to Crown Corps,12300000
5162,FY 2013-14,Parks Canada Agency,Main Estimates,20,Operating/Program,436942756
5163,FY 2013-14,Parks Canada Agency,Main Estimates,25,Other,500000
5164,FY 2013-14,Parole Board of Canada,Main Estimates,35,Operating/Program,42438753
5165,FY 2013-14,Patented Medicine Prices Review Board,Main Estimates,40,Operating/Program,9918440
5166,FY 2013-14,Privy Council Office,Main Estimates,1,Operating/Program,109008095
5167,FY 2013-14,Public Health Agency of Canada,Main Estimates,50,Capital,7217054
5168,FY 2013-14,Public Health Agency of Canada,Main Estimates,45,Operating/Program,329555178
5169,FY 2013-14,Public Health Agency of Canada,Main Estimates,55,Grants & Contributions,210343452
5170,FY 2013-14,Public Service Commission,Main Estimates,95,Operating/Program,76778690
5171,FY 2013-14,Public Service Labour Relations Board,Main Estimates,100,Operating/Program,12470076
5172,FY 2013-14,Public Service Staffing Tribunal,Main Estimates,105,Operating/Program,4832445
5173,FY 2013-14,Registrar of the Supreme Court of Canada,Main Estimates,50,Operating/Program,21902736
5174,FY 2013-14,Registry of the Competition Tribunal,Main Estimates,85,Operating/Program,2166909
5175,FY 2013-14,Registry of the Public Servants Disclosure Protection Tribunal,Main Estimates,110,Operating/Program,1646091
5176,FY 2013-14,Registry of the Specific Claims Tribunal,Main Estimates,35,Operating/Program,1004735
5177,FY 2013-14,Royal Canadian Mounted Police,Main Estimates,45,Operating/Program,1867089615
5178,FY 2013-14,Royal Canadian Mounted Police,Main Estimates,50,Capital,267612685
5179,FY 2013-14,Royal Canadian Mounted Police,Main Estimates,55,Grants & Contributions,144973657
5180,FY 2013-14,Royal Canadian Mounted Police External Review Committee,Main Estimates,60,Operating/Program,830773
5181,FY 2013-14,Senate,Main Estimates,1,Operating/Program,58169816
5182,FY 2013-14,Shared Services Canada,Main Estimates,20,Capital,178694263
5183,FY 2013-14,Shared Services Canada,Main Estimates,15,Operating/Program,1119458822
5184,FY 2013-14,Social Sciences and Humanities Research Council,Main Estimates,90,Operating/Program,22122214
5185,FY 2013-14,Social Sciences and Humanities Research Council,Main Estimates,95,Grants & Contributions,658017636
5186,FY 2013-14,Standards Council of Canada,Main Estimates,100,Payments to Crown Corps,9729000
5187,FY 2013-14,Statistics Canada,Main Estimates,105,Operating/Program,338453316
5188,FY 2013-14,Telefilm Canada,Main Estimates,115,Payments to Crown Corps,99622354
5189,FY 2013-14,The Federal Bridge Corporation Limited,Main Estimates,45,Payments to Crown Corps,13000000
5190,FY 2013-14,The Jacques-Cartier and Champlain Bridges Inc.,Main Estimates,50,Payments to Crown Corps,203590000
5191,FY 2013-14,The National Battlefields Commission,Main Estimates,70,Operating/Program,6417451
5192,FY 2013-14,Transportation Appeal Tribunal of Canada,Main Estimates,55,Operating/Program,1293021
5193,FY 2013-14,Treasury Board Secretariat,Main Estimates,1,Operating/Program,214344779
5194,FY 2013-14,Treasury Board Secretariat,Main Estimates,5,Treasury Board Central,750000000
5195,FY 2013-14,Treasury Board Secretariat,Main Estimates,30,Treasury Board Central,600000000
5196,FY 2013-14,Treasury Board Secretariat,Main Estimates,25,Treasury Board Central,1200000000
5197,FY 2013-14,Treasury Board Secretariat,Main Estimates,33,Treasury Board Central,600000000
5198,FY 2013-14,Treasury Board Secretariat,Main Estimates,10,Treasury Board Central,3193000
5199,FY 2013-14,Treasury Board Secretariat,Main Estimates,20,Treasury Board Central,2267261397
5200,FY 2013-14,VIA Rail Canada Inc.,Main Estimates,60,Payments to Crown Corps,187783000
5201,FY 2013-14,Veterans Review and Appeal Board,Main Estimates,10,Operating/Program,9995067
5202,FY 2013-14,Atomic Energy of Canada Limited,Supplementary Estimates A,15,Payments to Crown Corps,260300000
5203,FY 2013-14,Canadian Grain Commission,Supplementary Estimates A,30,Operating/Program,12273425
5204,FY 2013-14,Canadian Institutes of Health Research,Supplementary Estimates A,20,Grants & Contributions,11226816
5205,FY 2013-14,Department of Agriculture and Agri-Food,Supplementary Estimates A,10,Grants & Contributions,220430000
5206,FY 2013-14,Department of Agriculture and Agri-Food,Supplementary Estimates A,1,Operating/Program,44621124
5207,FY 2013-14,Department of Canadian Heritage,Supplementary Estimates A,1,Operating/Program,500000
5208,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,1,Operating/Program,-1200000
5209,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,10,Grants & Contributions,166989310
5210,FY 2013-14,Department of Employment and Social Development,Supplementary Estimates A,5,Grants & Contributions,1612000
5211,FY 2013-14,Department of Employment and Social Development,Supplementary Estimates A,1,Operating/Program,2500000
5212,FY 2013-14,Department of Health,Supplementary Estimates A,10,Grants & Contributions,1
5213,FY 2013-14,Department of Health,Supplementary Estimates A,1,Operating/Program,5000000
5214,FY 2013-14,Department of Industry,Supplementary Estimates A,5,Capital,3109001
5215,FY 2013-14,Department of Industry,Supplementary Estimates A,1,Operating/Program,-2658999
5216,FY 2013-14,Department of Industry,Supplementary Estimates A,10,Grants & Contributions,28664000
5217,FY 2013-14,Department of Natural Resources,Supplementary Estimates A,10,Grants & Contributions,1
5218,FY 2013-14,Department of Natural Resources,Supplementary Estimates A,1,Operating/Program,12000000
5219,FY 2013-14,Department of Public Safety and Emergency Preparedness,Supplementary Estimates A,5,Grants & Contributions,230000000
5220,FY 2013-14,Natural Sciences and Engineering Research Council,Supplementary Estimates A,80,Grants & Contributions,4562184
5221,FY 2013-14,Registry of the Specific Claims Tribunal,Supplementary Estimates A,35,Operating/Program,1200001
5222,FY 2013-14,Royal Canadian Mounted Police,Supplementary Estimates A,45,Operating/Program,-710000
5223,FY 2013-14,Royal Canadian Mounted Police External Review Committee,Supplementary Estimates A,60,Operating/Program,710001
5224,FY 2013-14,Social Sciences and Humanities Research Council,Supplementary Estimates A,95,Grants & Contributions,3317770
5225,FY 2013-14,VIA Rail Canada Inc.,Supplementary Estimates A,60,Payments to Crown Corps,99000000
5226,FY 2013-14,Atlantic Canada Opportunities Agency,Supplementary Estimates B,1,Operating/Program,-133379
5227,FY 2013-14,Atlantic Canada Opportunities Agency,Supplementary Estimates B,5,Grants & Contributions,5532000
5228,FY 2013-14,Atomic Energy of Canada Limited,Supplementary Estimates B,15,Payments to Crown Corps,15619900
5229,FY 2013-14,Canada Border Services Agency,Supplementary Estimates B,15,Capital,38916147
5230,FY 2013-14,Canada Border Services Agency,Supplementary Estimates B,10,Operating/Program,37183489
5231,FY 2013-14,Canada Council for the Arts,Supplementary Estimates B,10,Payments to Crown Corps,127001
5232,FY 2013-14,Canadian Energy Regulator,Supplementary Estimates B,25,Operating/Program,12380000
5233,FY 2013-14,Canadian Food Inspection Agency,Supplementary Estimates B,13,Capital,6828183
5234,FY 2013-14,Canadian Food Inspection Agency,Supplementary Estimates B,11,Operating/Program,28998011
5235,FY 2013-14,Canadian Grain Commission,Supplementary Estimates B,30,Operating/Program,175001
5236,FY 2013-14,Canadian Institutes of Health Research,Supplementary Estimates B,15,Operating/Program,859268
5237,FY 2013-14,Canadian Institutes of Health Research,Supplementary Estimates B,20,Grants & Contributions,15204443
5238,FY 2013-14,Canadian Nuclear Safety Commission,Supplementary Estimates B,20,Operating/Program,2794373
5239,FY 2013-14,Canadian Radio-television and Telecommunications Commission,Supplementary Estimates B,50,Operating/Program,1
5240,FY 2013-14,Canadian Security Intelligence Service,Supplementary Estimates B,20,Operating/Program,3958967
5241,FY 2013-14,Canadian Transportation Accident Investigation and Safety Board,Supplementary Estimates B,10,Operating/Program,863222
5242,FY 2013-14,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Supplementary Estimates B,65,Operating/Program,4289937
5243,FY 2013-14,Communications Security Establishment,Supplementary Estimates B,20,Operating/Program,20977937
5244,FY 2013-14,Correctional Service of Canada,Supplementary Estimates B,30,Capital,-441499
5245,FY 2013-14,Correctional Service of Canada,Supplementary Estimates B,25,Operating/Program,5102763
5246,FY 2013-14,Department for Women and Gender Equality,Supplementary Estimates B,25,Operating/Program,1600000
5247,FY 2013-14,Department of Agriculture and Agri-Food,Supplementary Estimates B,1,Operating/Program,3943621
5248,FY 2013-14,Department of Agriculture and Agri-Food,Supplementary Estimates B,10,Grants & Contributions,1000000
5249,FY 2013-14,Department of Canadian Heritage,Supplementary Estimates B,1,Operating/Program,138589
5250,FY 2013-14,Department of Canadian Heritage,Supplementary Estimates B,5,Grants & Contributions,388404
5251,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates B,7,Other,1
5252,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates B,1,Operating/Program,15975941
5253,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates B,5,Grants & Contributions,3000000
5254,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,1,Operating/Program,89780015
5255,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,10,Grants & Contributions,505915598
5256,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,5,Capital,2600000
5257,FY 2013-14,Department of Employment and Social Development,Supplementary Estimates B,5,Grants & Contributions,57852900
5258,FY 2013-14,Department of Employment and Social Development,Supplementary Estimates B,1,Operating/Program,2896559
5259,FY 2013-14,Department of Finance,Supplementary Estimates B,7,Other,1
5260,FY 2013-14,Department of Finance,Supplementary Estimates B,1,Operating/Program,1517000
5261,FY 2013-14,Department of Finance,Supplementary Estimates B,5,Grants & Contributions,4200000
5262,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates B,10,Grants & Contributions,29222979
5263,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates B,1,Operating/Program,63158403
5264,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates B,5,Capital,24519207
5265,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,1,Operating/Program,27287949
5266,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,10,Grants & Contributions,245514210
5267,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,5,Capital,-1124968
5268,FY 2013-14,Department of Health,Supplementary Estimates B,1,Operating/Program,126743487
5269,FY 2013-14,Department of Health,Supplementary Estimates B,5,Capital,535893
5270,FY 2013-14,Department of Health,Supplementary Estimates B,10,Grants & Contributions,208428875
5271,FY 2013-14,"Department of Housing, Infrastructure and Communities",Supplementary Estimates B,5,Grants & Contributions,224471968
5272,FY 2013-14,"Department of Housing, Infrastructure and Communities",Supplementary Estimates B,1,Operating/Program,-9927
5273,FY 2013-14,Department of Industry,Supplementary Estimates B,10,Grants & Contributions,55351488
5274,FY 2013-14,Department of Industry,Supplementary Estimates B,5,Capital,6374512
5275,FY 2013-14,Department of Industry,Supplementary Estimates B,1,Operating/Program,30661848
5276,FY 2013-14,Department of Justice,Supplementary Estimates B,1,Operating/Program,995692
5277,FY 2013-14,Department of Justice,Supplementary Estimates B,5,Grants & Contributions,9800000
5278,FY 2013-14,Department of National Defence,Supplementary Estimates B,5,Capital,-76912334
5279,FY 2013-14,Department of National Defence,Supplementary Estimates B,1,Operating/Program,770150606
5280,FY 2013-14,Department of Natural Resources,Supplementary Estimates B,1,Operating/Program,31142874
5281,FY 2013-14,Department of Natural Resources,Supplementary Estimates B,5,Capital,400001
5282,FY 2013-14,Department of Natural Resources,Supplementary Estimates B,10,Grants & Contributions,-30096373
5283,FY 2013-14,Department of Public Safety and Emergency Preparedness,Supplementary Estimates B,5,Grants & Contributions,688902130
5284,FY 2013-14,Department of Public Works and Government Services,Supplementary Estimates B,1,Operating/Program,88387147
5285,FY 2013-14,Department of Public Works and Government Services,Supplementary Estimates B,5,Capital,86042148
5286,FY 2013-14,Department of Transport,Supplementary Estimates B,10,Grants & Contributions,11640201
5287,FY 2013-14,Department of Transport,Supplementary Estimates B,5,Capital,-4779060
5288,FY 2013-14,Department of Transport,Supplementary Estimates B,1,Operating/Program,16221955
5289,FY 2013-14,Department of Veterans Affairs,Supplementary Estimates B,1,Operating/Program,8766404
5290,FY 2013-14,Department of Veterans Affairs,Supplementary Estimates B,5,Grants & Contributions,11423000
5291,FY 2013-14,Department of Western Economic Diversification,Supplementary Estimates B,5,Grants & Contributions,13722550
5292,FY 2013-14,Department of Western Economic Diversification,Supplementary Estimates B,1,Operating/Program,-49217
5293,FY 2013-14,Department of the Environment,Supplementary Estimates B,5,Capital,193816
5294,FY 2013-14,Department of the Environment,Supplementary Estimates B,1,Operating/Program,-4253371
5295,FY 2013-14,Department of the Environment,Supplementary Estimates B,10,Grants & Contributions,2391193
5296,FY 2013-14,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,5,Grants & Contributions,49428977
5297,FY 2013-14,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,1,Operating/Program,1184988
5298,FY 2013-14,Enterprise Cape Breton Corporation,Supplementary Estimates B,10,Payments to Crown Corps,1085000
5299,FY 2013-14,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,55,Grants & Contributions,19830000
5300,FY 2013-14,House of Commons,Supplementary Estimates B,5,Operating/Program,14531989
5301,FY 2013-14,Indian Residential Schools Truth and Reconciliation Commission,Supplementary Estimates B,30,Operating/Program,62001
5302,FY 2013-14,Military Police Complaints Commission,Supplementary Estimates B,25,Operating/Program,5305896
