_id,fy_ef,organization,estimates_document,statutory_item,authorities
3738,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Canadian Cattlemen's Association Legacy Fund,2500000
3739,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,110800000
3740,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the AgriInsurance program,640800000
3741,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Contributions to employee benefit plans,76634604
3742,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Contributions in support of the Assistance to the Pork Industry Initiative,634500
3743,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",94000000
3744,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Loan guarantees under the Canadian Agricultural Loans Act,13111013
3745,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Salary and Motor Car Allowance,79102
3746,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Grants to agencies established under the Farm Products Agencies Act,100000
3747,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriStability Program,260300000
3748,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Canadian Pari-Mutuel Agency Revolving Fund,-421000
3749,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriInvest Program,143700000
3750,FY 2013-14,Department of Canadian Heritage,Main Estimates,Supplementary retirement benefits - Former Lieutenant Governors,182000
3751,FY 2013-14,Department of Canadian Heritage,Main Estimates,Salaries of the Lieutenant Governors,1196000
3752,FY 2013-14,Department of Canadian Heritage,Main Estimates,Salary and Motor Car Allowance,81102
3753,FY 2013-14,Department of Canadian Heritage,Main Estimates,Payments under the Lieutenant Governors Superannuation Act,637000
3754,FY 2013-14,Department of Canadian Heritage,Main Estimates,Contributions to employee benefit plans,20648944
3755,FY 2013-14,Department of Citizenship and Immigration,Main Estimates,Fees returned in connection with a terminated application,95500000
3756,FY 2013-14,Department of Citizenship and Immigration,Main Estimates,Contributions to employee benefit plans,57359614
3757,FY 2013-14,Department of Citizenship and Immigration,Main Estimates,Salary and Motor Car Allowance,79102
3758,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Contributions to employee benefit plans,70304345
3759,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,73762322
3760,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Payments to comprehensive claim beneficiaries in compensation for resource royalties,2606289
3761,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Salary and Motor Car Allowance,79102
3762,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act,8994000
3763,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Indian Annuities Treaty payments,1400000
3764,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,2000000
3765,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grassy Narrows and Islington Bands Mercury Disability Board,15000
3766,FY 2013-14,Department of Employment and Social Development,Main Estimates,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-9496875
3767,FY 2013-14,Department of Employment and Social Development,Main Estimates,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",49250000
3768,FY 2013-14,Department of Employment and Social Development,Main Estimates,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,754000000
3769,FY 2013-14,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,76900000
3770,FY 2013-14,Department of Employment and Social Development,Main Estimates,Transfer Payments in Connection with the Budget Implementation Act,6000000
3771,FY 2013-14,Department of Employment and Social Development,Main Estimates,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,566746076
3772,FY 2013-14,Department of Employment and Social Development,Main Estimates,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,10627478
3773,FY 2013-14,Department of Employment and Social Development,Main Estimates,Universal Child Care Benefit (Universal Child Care Benefit Act),2788000000
3774,FY 2013-14,Department of Employment and Social Development,Main Estimates,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,645325114
3775,FY 2013-14,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,222600000
3776,FY 2013-14,Department of Employment and Social Development,Main Estimates,Salary and Motor Car Allowance,160204
3777,FY 2013-14,Department of Employment and Social Development,Main Estimates,Allowance payments (Old Age Security Act),546850256
3778,FY 2013-14,Department of Employment and Social Development,Main Estimates,Old Age Security payments (Old Age Security Act),32351573995
3779,FY 2013-14,Department of Employment and Social Development,Main Estimates,Guaranteed Income Supplement Payments (Old Age Security Act),9735348031
3780,FY 2013-14,Department of Employment and Social Development,Main Estimates,Supplementary retirement benefits — Annuities agents' pensions,35000
3781,FY 2013-14,Department of Employment and Social Development,Main Estimates,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,1826
3782,FY 2013-14,Department of Employment and Social Development,Main Estimates,Contributions to employee benefit plans,224592036
3783,FY 2013-14,Department of Employment and Social Development,Main Estimates,Civil Service Insurance actuarial liability adjustments,145000
3784,FY 2013-14,Department of Employment and Social Development,Main Estimates,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,128000000
3785,FY 2013-14,Department of Employment and Social Development,Main Estimates,Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act),40000000
3786,FY 2013-14,Department of Finance,Main Estimates,Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act),89461000
3787,FY 2013-14,Department of Finance,Main Estimates,Interest on Unmatured Debt,18401000000
3788,FY 2013-14,Department of Finance,Main Estimates,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",32149329
3789,FY 2013-14,Department of Finance,Main Estimates,Salary and Motor Car Allowance,81102
3790,FY 2013-14,Department of Finance,Main Estimates,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-3499933000
3791,FY 2013-14,Department of Finance,Main Estimates,Purchase of Domestic Coinage,126500000
3792,FY 2013-14,Department of Finance,Main Estimates,"Payment to the International Bank for reconstruction and development for the Agriculture Advance Market commitment (Bretton Woods and Related Agreements Act, section 8)",10000000
3793,FY 2013-14,Department of Finance,Main Estimates,Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act),245785000
3794,FY 2013-14,Department of Finance,Main Estimates,Payments to International Development Association,441610000
3795,FY 2013-14,Department of Finance,Main Estimates,Contributions to employee benefit plans,12203454
3796,FY 2013-14,Department of Finance,Main Estimates,Other Interest Costs,8733000000
3797,FY 2013-14,Department of Finance,Main Estimates,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),3288281700
3798,FY 2013-14,Department of Finance,Main Estimates,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),30283114000
3799,FY 2013-14,Department of Finance,Main Estimates,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),16105194000
3800,FY 2013-14,Department of Finance,Main Estimates,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-770280000
3801,FY 2013-14,Department of Finance,Main Estimates,"Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)",1481000000
3802,FY 2013-14,Department of Finance,Main Estimates,Wait Times Reduction Transfer (PartV.1) Federal-Provincial Fiscal Arrangements Act),250000000
3803,FY 2013-14,Department of Finance,Main Estimates,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),12215271000
3804,FY 2013-14,Department of Finance,Main Estimates,Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,51200000
3805,FY 2013-14,Department of Fisheries and Oceans,Main Estimates,Contributions to employee benefit plans,129897782
3806,FY 2013-14,Department of Fisheries and Oceans,Main Estimates,Salary and Motor Car Allowance,79102
3807,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,Contributions to employee benefit plans,81367216
3808,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,Salary and Motor Car Allowance,160204
3809,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,Passport Canada Revolving Fund (Revolving Funds Act),70373000
3810,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Main Estimates,Payments under the Diplomatic Service (Special) Superannuation Act,250000
3811,FY 2013-14,Department of Health,Main Estimates,Salary and Motor Car Allowance,79102
3812,FY 2013-14,Department of Health,Main Estimates,Contributions to employee benefit plans,126169222
3813,FY 2013-14,"Department of Housing, Infrastructure and Communities",Main Estimates,Contributions to employee benefit plans,4986059
3814,FY 2013-14,Department of Industry,Main Estimates,Salary and Motor Car Allowance,83102
3815,FY 2013-14,Department of Industry,Main Estimates,Grant and Contribution to Genome Canada,57100000
3816,FY 2013-14,Department of Industry,Main Estimates,Canadian Intellectual Property Office Revolving Fund,17604331
3817,FY 2013-14,Department of Industry,Main Estimates,Contributions to employee benefit plans,53619205
3818,FY 2013-14,Department of Industry,Main Estimates,Liabilities under the Canada Small Business Financing Act,86386000
3819,FY 2013-14,Department of Justice,Main Estimates,Contributions to employee benefit plans,79776724
3820,FY 2013-14,Department of Justice,Main Estimates,Salary and Motor Car Allowance,79102
3821,FY 2013-14,Department of National Defence,Main Estimates,Payments under the Supplementary Retirement Benefits Act,4492604
3822,FY 2013-14,Department of National Defence,Main Estimates,Contributions to employee benefit plans (Members of the Military),1022618246
3823,FY 2013-14,Department of National Defence,Main Estimates,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",24100
3824,FY 2013-14,Department of National Defence,Main Estimates,Contributions to employee benefit plans,309756941
3825,FY 2013-14,Department of National Defence,Main Estimates,Payments under Parts I-IV of the Defence Services Pension Continuation Act,929668
3826,FY 2013-14,Department of National Defence,Main Estimates,Salary and Motor Car Allowance,158204
3827,FY 2013-14,Department of Natural Resources,Main Estimates,Salary and Motor Car Allowance,79102
3828,FY 2013-14,Department of Natural Resources,Main Estimates,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,1142062000
3829,FY 2013-14,Department of Natural Resources,Main Estimates,Contributions to employee benefit plans,59706197
3830,FY 2013-14,Department of Natural Resources,Main Estimates,Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources,22460000
3831,FY 2013-14,Department of Natural Resources,Main Estimates,Contribution to the Canada/Newfoundland Offshore Petroleum Board,7756000
3832,FY 2013-14,Department of Natural Resources,Main Estimates,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,3550000
3833,FY 2013-14,Department of Natural Resources,Main Estimates,Payments to the Nova Scotia Offshore Revenue Account,79339000
3834,FY 2013-14,Department of Public Safety and Emergency Preparedness,Main Estimates,Contributions to employee benefit plans,15860930
3835,FY 2013-14,Department of Public Safety and Emergency Preparedness,Main Estimates,Salary and Motor Car Allowance,79102
3836,FY 2013-14,Department of Public Works and Government Services,Main Estimates,Salary and Motor Car Allowance,79102
3837,FY 2013-14,Department of Public Works and Government Services,Main Estimates,Translation Bureau Revolving Fund,7022229
3838,FY 2013-14,Department of Public Works and Government Services,Main Estimates,Contributions to employee benefit plans,114739046
3839,FY 2013-14,Department of Public Works and Government Services,Main Estimates,Optional Services Revolving Fund,8484366
3840,FY 2013-14,Department of Public Works and Government Services,Main Estimates,Real Property Services Revolving Fund,10000000
3841,FY 2013-14,Department of Transport,Main Estimates,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,94200000
3842,FY 2013-14,Department of Transport,Main Estimates,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,61582525
3843,FY 2013-14,Department of Transport,Main Estimates,Contributions to employee benefit plans,72569973
3844,FY 2013-14,Department of Transport,Main Estimates,Salary and Motor Car Allowance,81102
3845,FY 2013-14,Department of Transport,Main Estimates,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
3846,FY 2013-14,Department of Veterans Affairs,Main Estimates,Salary and Motor Car Allowance,79102
3847,FY 2013-14,Department of Veterans Affairs,Main Estimates,Returned Soldiers Insurance Actuarial Liability Adjustment,10000
3848,FY 2013-14,Department of Veterans Affairs,Main Estimates,Contributions to employee benefit plans,39394993
3849,FY 2013-14,Department of Veterans Affairs,Main Estimates,Re-establishment credits under section 8 of the War Service Grants Act,12000
3850,FY 2013-14,Department of Veterans Affairs,Main Estimates,Veterans Insurance Actuarial Liability Adjustment,175000
3851,FY 2013-14,Department of Western Economic Diversification,Main Estimates,Contributions to employee benefit plans,4889451
3852,FY 2013-14,Department of Western Economic Diversification,Main Estimates,Salary and Motor Car Allowance,2000
3853,FY 2013-14,Department of the Environment,Main Estimates,Contributions to employee benefit plans,88749822
3854,FY 2013-14,Department of the Environment,Main Estimates,Salary and Motor Car Allowance,79102
3855,FY 2013-14,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,Contributions to employee benefit plans,4929289
3856,FY 2013-14,Federal Economic Development Agency for Southern Ontario,Main Estimates,Contributions to employee benefit plans,3149796
3857,FY 2013-14,Financial Transactions and Reports Analysis Centre of Canada,Main Estimates,Contributions to employee benefit plans,5658585
3858,FY 2013-14,Hazardous Materials Information Review Commission,Main Estimates,Contributions to employee benefit plans,489312
3859,FY 2013-14,House of Commons,Main Estimates,Contributions to employee benefit plans,35924165
3860,FY 2013-14,House of Commons,Main Estimates,Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account,112061179
3861,FY 2013-14,Immigration and Refugee Board,Main Estimates,Contributions to employee benefit plans,14492640
3862,FY 2013-14,Impact Assessment Agency of Canada,Main Estimates,Contributions to employee benefit plans,2863886
3863,FY 2013-14,Indian Residential Schools Truth and Reconciliation Commission,Main Estimates,Contributions to employee benefit plans,92179
3864,FY 2013-14,International Joint Commission (Canadian Section),Main Estimates,Contributions to employee benefit plans,635353
3865,FY 2013-14,Library and Archives of Canada,Main Estimates,Contributions to employee benefit plans,10177677
3866,FY 2013-14,Library of Parliament,Main Estimates,Contributions to employee benefit plans,5132478
3867,FY 2013-14,Military Grievances External Review Committee,Main Estimates,Contributions to employee benefit plans,607519
3868,FY 2013-14,Military Police Complaints Commission,Main Estimates,Contributions to employee benefit plans,344630
3869,FY 2013-14,National Research Council of Canada,Main Estimates,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,142000000
3870,FY 2013-14,National Research Council of Canada,Main Estimates,Contributions to employee benefit plans,40238233
3871,FY 2013-14,National Security and Intelligence Review Agency Secretariat,Main Estimates,Contributions to employee benefit plans,320297
3872,FY 2013-14,Natural Sciences and Engineering Research Council,Main Estimates,Contributions to employee benefit plans,5120588
3873,FY 2013-14,Northern Pipeline Agency,Main Estimates,Contributions to employee benefit plans,120930
3874,FY 2013-14,Office of the Auditor General,Main Estimates,Contributions to employee benefit plans,10232880
3875,FY 2013-14,Office of the Chief Electoral Officer,Main Estimates,Expenses under Electoral Boundary Readjustment Act,1539187
3876,FY 2013-14,Office of the Chief Electoral Officer,Main Estimates,Salary of the Chief Electoral Officer,288100
3877,FY 2013-14,Office of the Chief Electoral Officer,Main Estimates,Contributions to employee benefit plans,6625283
3878,FY 2013-14,Office of the Chief Electoral Officer,Main Estimates,Electoral expenditures,77320242
3879,FY 2013-14,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",487534826
3880,FY 2013-14,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,Contributions to employee benefit plans,785778
3881,FY 2013-14,Office of the Commissioner of Lobbying,Main Estimates,Contributions to employee benefit plans,434784
3882,FY 2013-14,Office of the Commissioner of Official Languages,Main Estimates,Contributions to employee benefit plans,2250180
3883,FY 2013-14,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,Contributions to employee benefit plans,800421
3884,FY 2013-14,Office of the Correctional Investigator of Canada,Main Estimates,Contributions to employee benefit plans,566948
3885,FY 2013-14,Office of the Director of Public Prosecutions,Main Estimates,Contributions to employee benefit plans,18247860
3886,FY 2013-14,Office of the Governor General's Secretary,Main Estimates,Contributions to employee benefit plans,2106176
3887,FY 2013-14,Office of the Governor General's Secretary,Main Estimates,Salary of the Governor General,270602
3888,FY 2013-14,Office of the Governor General's Secretary,Main Estimates,Annuities payable under the Governor General's Act,545000
3889,FY 2013-14,Office of the Intelligence Commissioner,Main Estimates,Contributions to employee benefit plans,134008
3890,FY 2013-14,Office of the Public Sector Integrity Commissioner,Main Estimates,Contributions to employee benefit plans,520799
3891,FY 2013-14,Office of the Senate Ethics Officer,Main Estimates,Contributions to employee benefit plans,104400
3892,FY 2013-14,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,Contributions to employee benefit plans,3830250
3893,FY 2013-14,Parks Canada Agency,Main Estimates,Contributions to employee benefit plans,48592513
3894,FY 2013-14,Parks Canada Agency,Main Estimates,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act,111000000
3895,FY 2013-14,Parole Board of Canada,Main Estimates,Contributions to employee benefit plans,6240763
3896,FY 2013-14,Patented Medicine Prices Review Board,Main Estimates,Contributions to employee benefit plans,1025633
3897,FY 2013-14,Privy Council Office,Main Estimates,Contributions to employee benefit plans,13997460
3898,FY 2013-14,Privy Council Office,Main Estimates,Salary and Motor Car Allowance,404349
3899,FY 2013-14,Public Health Agency of Canada,Main Estimates,Contributions to employee benefit plans,32120776
3900,FY 2013-14,Public Service Commission,Main Estimates,Contributions to employee benefit plans,13170904
3901,FY 2013-14,Public Service Labour Relations Board,Main Estimates,Contributions to employee benefit plans,1304347
3902,FY 2013-14,Public Service Staffing Tribunal,Main Estimates,Contributions to employee benefit plans,611000
3903,FY 2013-14,Registrar of the Supreme Court of Canada,Main Estimates,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",6371407
3904,FY 2013-14,Registrar of the Supreme Court of Canada,Main Estimates,Contributions to employee benefit plans,2382068
3905,FY 2013-14,Registry of the Competition Tribunal,Main Estimates,Contributions to employee benefit plans,164414
3906,FY 2013-14,Registry of the Public Servants Disclosure Protection Tribunal,Main Estimates,Contributions to employee benefit plans,188284
3907,FY 2013-14,Registry of the Specific Claims Tribunal,Main Estimates,Contributions to employee benefit plans,824
3908,FY 2013-14,Royal Canadian Mounted Police,Main Estimates,Contributions to employee benefit plans,92880107
3909,FY 2013-14,Royal Canadian Mounted Police,Main Estimates,Pensions and other employee benefits - Members of the Force,371520429
3910,FY 2013-14,Royal Canadian Mounted Police,Main Estimates,Pensions under the Royal Canadian Mounted Police Pension Continuation Act,14000000
3911,FY 2013-14,Royal Canadian Mounted Police External Review Committee,Main Estimates,Contributions to employee benefit plans,103639
3912,FY 2013-14,Senate,Main Estimates,"Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",26690200
3913,FY 2013-14,Senate,Main Estimates,Contributions to employee benefit plans,7657013
3914,FY 2013-14,Shared Services Canada,Main Estimates,Contributions to employee benefit plans,99952971
3915,FY 2013-14,Social Sciences and Humanities Research Council,Main Estimates,Contributions to employee benefit plans,2610109
3916,FY 2013-14,Statistics Canada,Main Estimates,Contributions to employee benefit plans,62167097
3917,FY 2013-14,The National Battlefields Commission,Main Estimates,Contributions to employee benefit plans,370872
3918,FY 2013-14,The National Battlefields Commission,Main Estimates,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,1800000
3919,FY 2013-14,Transportation Appeal Tribunal of Canada,Main Estimates,Contributions to employee benefit plans,126850
3920,FY 2013-14,Treasury Board Secretariat,Main Estimates,Contributions to employee benefit plans,28001490
3921,FY 2013-14,Treasury Board Secretariat,Main Estimates,Payments under the Public Service Pension Adjustment Act,20000
3922,FY 2013-14,Treasury Board Secretariat,Main Estimates,Salary and Motor Car Allowance,79102
3923,FY 2013-14,Veterans Review and Appeal Board,Main Estimates,Contributions to employee benefit plans,1561662
3924,FY 2013-14,Canadian Grain Commission,Supplementary Estimates A,Contributions to employee benefit plans,2952519
3925,FY 2013-14,Department of Agriculture and Agri-Food,Supplementary Estimates A,Contributions to employee benefit plans,5201143
3926,FY 2013-14,Atlantic Canada Opportunities Agency,Supplementary Estimates B,Salary and Motor Car Allowance,2000
3927,FY 2013-14,Canada Border Services Agency,Supplementary Estimates B,Contributions to employee benefit plans,6768929
3928,FY 2013-14,Canadian Food Inspection Agency,Supplementary Estimates B,Contributions to employee benefit plans,4107192
3929,FY 2013-14,Canadian Institutes of Health Research,Supplementary Estimates B,Contributions to employee benefit plans,78436
3930,FY 2013-14,Canadian Nuclear Safety Commission,Supplementary Estimates B,Contributions to employee benefit plans,41321
3931,FY 2013-14,Canadian Transportation Accident Investigation and Safety Board,Supplementary Estimates B,Contributions to employee benefit plans,78000
3932,FY 2013-14,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Supplementary Estimates B,Contributions to employee benefit plans,430341
3933,FY 2013-14,Communications Security Establishment,Supplementary Estimates B,Contributions to employee benefit plans,560774
3934,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates B,Fees returned in connection with a terminated application,-31700000
3935,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates B,Contributions to employee benefit plans,237346
3936,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,Contributions to employee benefit plans,1121546
3937,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,Contributions to Indspire (Budget 2013),5000000
3938,FY 2013-14,Department of Employment and Social Development,Supplementary Estimates B,Contributions to employee benefit plans,615194
3939,FY 2013-14,Department of Employment and Social Development,Supplementary Estimates B,Salary and Motor Car Allowance,2000
3940,FY 2013-14,Department of Employment and Social Development,Supplementary Estimates B,Payments to the Canadian National Institute for the Blind for a national digital hub to improve library services for persons with a print disability (Budget 2013),3000000
3941,FY 2013-14,Department of Finance,Supplementary Estimates B,Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act),34780000
